km_driven,engine,max_power,fuel_Diesel,fuel_LPG,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Third Owner,selling_price
0.061640208502086,0.2093959731543624,0.1122004357298475,True,False,False,True,False,False,False,450000
0.0508372111151404,0.2932885906040268,0.1925925925925926,True,False,False,True,False,True,False,370000
0.0593101502421566,0.2929530201342282,0.1230936819172113,False,False,False,True,False,False,True,158000
0.0538027398095961,0.2590604026845637,0.1557734204793028,True,False,False,True,False,False,False,225000
0.0508372111151404,0.2261744966442953,0.1508714596949891,False,False,False,True,False,False,False,130000
0.0190636893888299,0.1922818791946308,0.1336056644880174,False,False,False,True,False,False,False,440000
0.0741377937144348,0.1466442953020134,0.0672657952069716,False,True,False,True,False,False,False,96000
0.0021178111347976,0.0577181208053691,0.011437908496732,False,False,False,True,False,True,False,45000
0.0381278024246162,0.2483221476510067,0.0934095860566448,True,False,False,True,False,False,False,350000
0.07159591197633,0.2600671140939598,0.0961328976034858,True,False,False,True,False,False,False,200000
0.0288075693848985,0.2808724832214765,0.2060185185185185,True,False,False,True,False,True,False,500000
0.0423642719881243,0.1238255033557047,0.074074074074074,False,False,False,True,False,True,False,92000
0.0593101502421566,0.2093959731543624,0.1119281045751634,True,False,False,True,False,True,False,280000
0.0381278024246162,0.1466442953020134,0.0931372549019608,False,False,False,True,False,True,False,180000
0.0169454546070759,0.1926174496644295,0.1339869281045752,False,False,False,True,False,False,False,400000
0.0296548632976001,0.2093959731543624,0.1516884531590414,True,False,False,True,False,True,False,778000
0.0224528650396364,0.2590604026845637,0.1557734204793028,True,False,False,True,False,True,False,500000
0.0338913328611081,0.0577181208053691,0.0367647058823529,False,False,False,True,False,True,False,150000
0.0423642719881243,0.2590604026845637,0.1523148148148148,True,False,False,True,False,False,False,680000
0.0423642719881243,0.2808724832214765,0.085239651416122,True,False,False,True,False,True,False,174000
0.0211819241705839,0.2932885906040268,0.1791938997821351,True,False,False,True,False,False,False,950000
0.0169454546070759,0.2093959731543624,0.1122004357298475,True,False,False,True,False,False,False,525000
0.0305021572103017,0.2093959731543624,0.1525054466230936,True,False,False,True,False,False,False,600000
0.0148272198253218,0.1929530201342282,0.1389161220043573,False,False,False,True,False,False,False,500000
0.0190636893888299,0.1922818791946308,0.1369825708061002,False,False,False,True,False,False,False,575000
0.0118616911308662,0.0577181208053691,0.0394880174291939,False,False,False,True,False,False,False,275000
0.0296548632976001,0.2093959731543624,0.1116557734204793,True,False,False,True,False,False,False,300000
0.0508372111151404,0.1466442953020134,0.0931372549019608,False,False,False,True,False,False,False,220000
0.0105907502618138,0.0577181208053691,0.0038126361655773,False,False,False,True,False,False,False,254999
0.0296548632976001,0.2093959731543624,0.1516884531590414,True,False,False,True,False,False,False,670000
0.0148272198253218,0.0577181208053691,0.0059912854030501,False,False,False,True,False,True,False,150000
0.0010112452848093,0.1922818791946308,0.1335239651416122,False,False,False,True,False,False,False,730000
0.0068626570459267,0.2093959731543624,0.1516884531590414,True,False,False,True,False,False,False,650000
0.0042360459165517,0.0577181208053691,0.0204248366013072,False,False,False,True,False,True,False,330000
0.0063542806983057,0.1255033557046979,0.0934095860566448,False,False,False,True,False,False,False,366000
0.0021178111347976,0.324496644295302,0.2410130718954248,False,False,False,True,False,False,False,1149000
0.0177927485197775,0.1926174496644295,0.0931372549019608,False,False,False,True,False,False,False,150000
0.025418393734092,0.5218120805369127,0.2865740740740741,True,False,False,True,False,True,False,425000
0.0321967450357049,0.0577181208053691,0.011437908496732,False,False,False,True,False,False,False,150000
0.0122429733915819,0.2929530201342282,0.230119825708061,False,False,False,True,False,False,False,925000
0.0365603086861182,0.2929530201342282,0.2273965141612201,False,False,False,True,False,False,False,425000
0.0098705504360174,0.1922818791946308,0.1370915032679738,False,False,False,False,False,False,False,675000
0.0138104671300799,0.2093959731543624,0.1516884531590414,True,False,False,True,False,False,False,819999
0.0043631400034569,0.1255033557046979,0.0932734204793028,False,False,False,True,False,False,False,390000
0.0419406250317735,0.6275167785234899,0.1830065359477124,True,False,False,True,False,False,False,700000
0.0210971947793138,0.2932885906040268,0.1792755991285403,True,False,False,True,False,False,False,425000
0.0639702667620154,0.6218120805369127,0.3887799564270153,True,False,False,True,False,False,False,1090000
0.0231730648654327,0.2932885906040268,0.1791938997821351,True,False,False,True,False,False,False,600000
0.0271129815594952,0.2812080536912751,0.1918572984749456,False,False,False,True,False,False,False,850000
0.0266893346031444,0.2932885906040268,0.1791938997821351,True,False,False,True,False,False,False,525000
0.0419406250317735,0.6275167785234899,0.184640522875817,True,False,False,True,False,False,False,950000
0.0508372111151404,0.2093959731543624,0.1525054466230936,True,False,False,True,False,False,False,265000
0.0466007415516323,0.1922818791946308,0.1255446623093682,False,False,False,True,False,False,True,190000
0.025418393734092,0.2590604026845637,0.15239651416122,True,False,False,True,False,False,False,425000
0.0622756789366122,0.2093959731543624,0.1122004357298475,True,False,False,True,False,True,False,630000
0.0105907502618138,0.1919463087248322,0.1470588235294118,False,False,False,True,False,False,True,600000
0.0127089850435678,0.1922818791946308,0.1369825708061002,False,False,False,True,False,False,False,650000
0.0169454546070759,0.2932885906040268,0.2061410675381264,True,False,False,True,False,False,False,540000
0.0571919154604025,0.2932885906040268,0.1791938997821351,True,False,False,True,False,False,False,630000
0.0127089850435678,0.1255033557046979,0.0931372549019608,False,False,False,False,False,False,False,448000
0.0338913328611081,0.2932885906040268,0.2064814814814815,True,False,False,True,False,False,False,500000
0.0296548632976001,0.2093959731543624,0.1516884531590414,True,False,False,True,False,False,False,745000
0.004172498873099,0.2093959731543624,0.1516884531590414,True,False,False,False,False,False,False,1025000
0.025418393734092,0.1922818791946308,0.1255446623093682,False,False,False,True,False,True,False,235000
0.0296548632976001,0.2093959731543624,0.1122004357298475,True,False,False,True,False,False,False,630000
